year,Cases
2009-07,6
2009-08,186
2009-09,267
2009-10,248
2009-11,0
2010-07,85
2010-08,217
2010-09,121
2010-10,64
2010-11,0
2011-07,487
2011-08,813
2011-09,301
2011-10,181
2011-11,58
2012-07,187
2012-08,183
2012-09,453
2012-10,134
2012-11,35
2013-07,243
2013-08,587
2013-09,606
2013-10,742
2013-11,371
2014-07,89
2014-08,86
2014-09,81
2014-10,76
2014-11,32
2015-07,249
2015-08,868
2015-09,987
2015-10,931
2015-11,492
2016-07,989
2016-08,1864
2016-09,2167
2016-10,1068
2016-11,747
2017-07,501
2017-08,547
2017-09,654
2017-10,769
2017-11,603
2018-07,987
2018-08,2031
2018-09,5082
2018-10,4034
2018-11,1591
