year,Temperature,Humidity,Precipitation,Cases
2009-07,28.68,88.81,15.46,6
2009-08,28.41,88.81,13.69,186
2009-09,27.83,89.25,7.07,267
2009-10,25.58,85.62,4.42,248
2009-11,22.49,80.06,0.87,0
2010-07,28.58,89.25,6.32,85
2010-08,28.44,88.31,8.55,217
2010-09,27.73,89.19,6.38,121
2010-10,26.59,86.38,7.71,64
2010-11,23.49,79,0.54,0
2011-07,28.51,88,7.52,487
2011-08,27.76,90.69,14.66,813
2011-09,27.69,90.12,6.79,301
2011-10,26.72,82.12,1.5,181
2011-11,22.9,71.62,0.01,58
2012-07,28.81,87.25,9.56,187
2012-08,28.23,89.31,9.73,183
2012-09,27.7,89.69,5.65,453
2012-10,25.47,84.19,2.05,134
2012-11,21.51,76.25,2.22,35
2013-07,28.39,89.31,7.75,243
2013-08,27.92,90.06,8.09,587
2013-09,27.95,88.44,8.69,606
2013-10,26.37,87.19,5.15,742
2013-11,22.09,80.81,0,371
2014-07,28.68,89.38,7.81,89
2014-08,28.24,89.56,11.51,86
2014-09,27.94,88.25,8.5,81
2014-10,26.36,79.81,2.24,76
2014-11,22.53,71.88,0.01,32
2015-07,28.05,91.06,23.14,249
2015-08,28.14,90.5,10.53,868
2015-09,28.16,86.62,8.22,987
2015-10,26.55,81.44,3.08,931
2015-11,23.08,73.88,0.05,492
2016-07,28.23,90.31,22.25,989
2016-08,28.3,89.69,17.91,1864
2016-09,28.19,88.75,10.82,2167
2016-10,26.96,85.56,7.31,1068
2016-11,22.51,81.31,6.11,747
2017-07,28.06,91.5,29.37,501
2017-08,28.36,90.44,32.49,547
2017-09,28.15,89.75,19.5,654
2017-10,26.33,85.94,14.84,769
2017-11,21.92,81.62,0.53,603
2018-07,28.56,90.5,19.86,987
2018-08,28.41,90.31,9.95,2031
2018-09,28.21,87.19,5.77,5082
2018-10,25.69,78.75,2.02,4034
2018-11,22.49,71.88,0.78,1591
2019-07,28.58,90.5,24.03,22723
2019-08,28.62,89.25,17.5,69816
2019-09,28.18,87.94,11.95,23429
2019-10,26.33,86.19,7.86,8264
2019-11,23.11,82,4.47,6125
2019-12,17.72,82.19,0.56,1759
