year,Temperature,Humidity,Precipitation,Cases
2009-01,19.14,67.94,0.03,0
2009-02,22,54.19,0.69,0
2009-03,27.36,48.56,1.22,0
2009-04,31.73,60.94,1.48,0
2009-05,30.63,73.31,7.98,3
2009-06,29.26,85.44,9.21,0
2009-07,28.68,88.81,15.46,6
2009-08,28.41,88.81,13.69,186
2009-09,27.83,89.25,7.07,267
2009-10,25.58,85.62,4.42,248
2009-11,22.49,80.06,0.87,0
2009-12,18.12,75.44,0.04,0
2010-01,17.56,65.94,0,0
2010-02,21.44,51.38,0.81,0
2010-03,28.51,52.88,0.94,0
2010-04,32.17,64.25,2.33,0
2010-05,30.22,76.5,9.86,0
2010-06,28.65,90,14.13,0
2010-07,28.58,89.25,6.32,85
2010-08,28.44,88.31,8.55,217
2010-09,27.73,89.19,6.38,121
2010-10,26.59,86.38,7.71,64
2010-11,23.49,79,0.54,0
2010-12,13.13,77.56,2.19,0
2011-01,16.51,68.44,0,0
2011-02,21.48,55.06,0.06,0
2011-03,27.46,54.38,1.47,0
2011-04,30.1,61.69,2.98,0
2011-05,29.81,78.25,9.71,0
2011-06,28.68,87.12,10.69,80
2011-07,28.51,88,7.52,487
2011-08,27.76,90.69,14.66,813
2011-09,27.69,90.12,6.79,301
2011-10,26.72,82.12,1.5,181
2011-11,22.9,71.62,0.01,58
2011-12,19.78,68.19,0.02,10
2012-01,18.71,60.38,0.44,0
2012-02,21.62,45.94,0.39,0
2012-03,27.85,48.81,0.41,0
2012-04,30.02,68.88,7.13,0
2012-05,30.64,73.5,4.22,0
2012-06,29.83,83.25,7.51,11
2012-07,28.81,87.25,9.56,187
2012-08,28.23,89.31,9.73,183
2012-09,27.7,89.69,5.65,453
2012-10,25.47,84.19,2.05,134
2012-11,21.51,76.25,2.22,35
2012-12,16.85,69.38,0.07,0
2013-01,16.29,58.38,0.01,8
2013-02,21.73,48.75,0.23,9
2013-03,28.02,49.31,0.67,6
2013-04,31.51,57.94,2.27,6
2013-05,28.99,83.44,15.9,23
2013-06,28.7,88.81,10.91,76
2013-07,28.39,89.31,7.75,243
2013-08,27.92,90.06,8.09,587
2013-09,27.95,88.44,8.69,606
2013-10,26.37,87.19,5.15,742
2013-11,22.09,80.81,0,371
2013-12,19.07,74.5,0.05,74
2014-01,17.95,68.06,0,23
2014-02,21.31,54.44,0.41,9
2014-03,27.3,49.31,0.53,4
2014-04,33.01,51.25,1.64,0
2014-05,32.05,67.69,7.85,9
2014-06,29.51,86.5,14.63,10
2014-07,28.68,89.38,7.81,89
2014-08,28.24,89.56,11.51,86
2014-09,27.94,88.25,8.5,81
2014-10,26.36,79.81,2.24,76
2014-11,22.53,71.88,0.01,32
2014-12,18.7,69.44,0.13,11
2015-01,19,60.38,0.11,0
2015-02,22.4,54.81,0.83,0
2015-03,27.29,46.75,0.73,4
2015-04,28.8,71.88,7.09,8
2015-05,30.08,77.38,5.17,17
2015-06,29.15,85.06,14.65,48
2015-07,28.05,91.06,23.14,249
2015-08,28.14,90.5,10.53,868
2015-09,28.16,86.62,8.22,987
2015-10,26.55,81.44,3.08,931
2015-11,23.08,73.88,0.05,492
2015-12,19.03,66.31,0.04,83
2016-01,18.11,58.25,0.24,19
2016-02,24.06,57.12,1.54,6
2016-03,28.5,55.81,2.26,24
2016-04,31.3,69.19,2.47,59
2016-05,30.01,77.69,17.49,83
2016-06,28.88,88.38,6.48,471
2016-07,28.23,90.31,22.25,989
2016-08,28.3,89.69,17.91,1864
2016-09,28.19,88.75,10.82,2167
2016-10,26.96,85.56,7.31,1068
2016-11,22.51,81.31,6.11,747
2016-12,19.28,80.75,0.01,189
2017-01,17.25,68.88,0.17,91
2017-02,21.44,55.38,0.32,76
2017-03,24.62,70.31,7.35,61
2017-04,27.54,83.44,16.72,86
2017-05,28.53,86,11.11,198
2017-06,28.31,91.75,23.36,465
2017-07,28.06,91.5,29.37,501
2017-08,28.36,90.44,32.49,547
2017-09,28.15,89.75,19.5,654
2017-10,26.33,85.94,14.84,769
2017-11,21.92,81.62,0.53,603
2017-12,19.36,82.81,4.75,172
2018-01,14.7,74.81,0.08,47
2018-02,20.52,67.69,0.53,8
2018-03,26.76,61.94,1.32,37
2018-04,27.95,76,11.8,47
2018-05,28.01,87.75,19.3,74
2018-06,28.4,90.81,19.05,439
2018-07,28.56,90.5,19.86,987
2018-08,28.41,90.31,9.95,2031
2018-09,28.21,87.19,5.77,5082
2018-10,25.69,78.75,2.02,4034
2018-11,22.49,71.88,0.78,1591
2018-12,18.54,68.81,1.06,523
2019-01,18.16,57.31,0,59
2019-02,21.83,56.31,3.8,25
2019-03,25.77,61.44,2.28,23
2019-04,30.15,67.38,2.93,79
2019-05,30.37,78.88,11.45,271
2019-06,29.08,88.25,11.31,2698
2019-07,28.58,90.5,24.03,22723
2019-08,28.62,89.25,17.5,69816
2019-09,28.18,87.94,11.95,23429
2019-10,26.33,86.19,7.86,8264
2019-11,23.11,82,4.47,6125
2019-12,17.72,82.19,0.56,1759
