Temperature,Humidity,Precipitation,Cases_Reng
28.68,88.81,15.46,0
28.41,88.81,13.69,0
27.83,89.25,7.07,0
25.58,85.62,4.42,0
22.49,80.06,0.87,0
28.58,89.25,6.32,0
28.44,88.31,8.55,0
27.73,89.19,6.38,0
26.59,86.38,7.71,0
23.49,79,0.54,0
28.51,88,7.52,0
27.76,90.69,14.66,1
27.69,90.12,6.79,0
26.72,82.12,1.5,0
22.9,71.62,0.01,0
28.81,87.25,9.56,0
28.23,89.31,9.73,0
27.7,89.69,5.65,0
25.47,84.19,2.05,0
21.51,76.25,2.22,0
28.39,89.31,7.75,0
27.92,90.06,8.09,1
27.95,88.44,8.69,1
26.37,87.19,5.15,1
22.09,80.81,0,0
28.68,89.38,7.81,0
28.24,89.56,11.51,0
27.94,88.25,8.5,0
26.36,79.81,2.24,0
22.53,71.88,0.01,0
28.05,91.06,23.14,0
28.14,90.5,10.53,1
28.16,86.62,8.22,1
26.55,81.44,3.08,1
23.08,73.88,0.05,0
28.23,90.31,22.25,1
28.3,89.69,17.91,2
28.19,88.75,10.82,2
26.96,85.56,7.31,2
22.51,81.31,6.11,1
28.06,91.5,29.37,1
28.36,90.44,32.49,1
28.15,89.75,19.5,1
26.33,85.94,14.84,1
21.92,81.62,0.53,1
28.56,90.5,19.86,1
28.41,90.31,9.95,3
28.21,87.19,5.77,4
25.69,78.75,2.02,3
22.49,71.88,0.78,2
28.58,90.5,24.03,3
28.62,89.25,17.5,4
28.18,87.94,11.95,4
26.33,86.19,7.86,4
23.11,82,4.47,4
17.72,82.19,0.56,2
